game,avg_rating,rating_count
Arma Combat Operations,98.0,1
Build-A-Lot 4,97.0,1
Glare,95.0,1
Chocolatier Decadence by Design,90.0,1
Don Bradman Cricket 14,89.0,1
Grotesque Tactics 2 - Dungeons and Donuts,86.0,1
Nobunaga's Ambition Souzou with Power Up Kit,83.0,1
Avernum 6,80.0,1
Making History The Calm & The Storm,79.0,1
Rooms The Unsolvable Puzzle,78.0,1
Battle of Empires  1914-1918,72.0,1
Action! - Gameplay Recording and Streaming,70.0,2
Basement,69.0,1
Delta Force Black Hawk Down - Team Sabre,69.0,1
liteCam Game 100 FPS Game Capture,68.0,1
Age of Wonders 2,63.0,1
Pro Cycling Manager 2014,63.0,1
Assassin's Creed Rogue,62.0,1
UFO Extraterrestrials Gold,62.0,2
The Incredible Adventures of Van Helsing Final Cut,58.0,1
Galactic Civilizations I Ultimate Edition,57.0,1
Eschalon Book 1,57.0,1
RPG Maker MV,55.0,1
Pro Cycling Manager 2013,55.0,2
Dragon Age II,54.95,4
Pro Evolution Soccer 2016,54.666666666666664,3
Star Ruler 2,53.2,2
Rulers of Nations,53.0,1
NBA 2K13,50.78333333333333,6
FINAL FANTASY XI,50.0,1
Runers,50.0,1
East India Company,50.0,1
Outcast 1.1,49.0,1
MotoGP14,48.7,2
Breezeblox,48.0,1
Earth Defense Force Insect Armageddon,47.65,2
Avernum Escape From the Pit,47.5,2
Nightbanes,47.5,2
The Age of Decadence,47.0,1
Dungeon Souls,46.2,2
Emergency 2012,46.0,1
Expeditions Conquistador,45.875,4
Hotel Giant 2,44.0,1
Port Royale 2,43.95,2
Might & Magic X - Legacy ,43.18333333333334,6
METAL GEAR SOLID V THE PHANTOM PAIN,43.00188679245283,53
Sunrider Academy,43.0,1
Anno Online,42.05,2
Puzzle Pirates,42.0,1
Farming Simulator 15,41.791666666666664,24
The Witcher 3 Wild Hunt,41.459649122807015,57
Fallout 4,41.43555555555556,135
The Dreamatorium of Dr. Magnus 2,41.0,1
Legend of Dungeon Masters,41.0,1
"On the Rain-Slick Precipice of Darkness, Episode Two",40.75,2
Grand Ages Medieval,39.6,3
Football Manager 2012,39.5,23
Democracy 2,39.1,2
Robin Hood,39.0,2
Global Agenda,38.690909090909095,11
Football Manager 2013,38.14523809523809,42
Cricket Revolution,38.0,1
Supreme Ruler Cold War,38.0,1
Football Manager 2010,37.352631578947374,19
Football Manager 2014,37.30344827586207,29
NBA 2K15,37.175,8
Football Manager 2016,37.15294117647059,17
Tom Clancy's Ghost Recon Advanced Warfighter,37.0,1
Ironcast,37.0,1
Puzzle Quest,36.857142857142854,7
Eufloria,36.8,8
Railroad Tycoon 2 Platinum,36.65,2
Grand Theft Auto V,36.60989583333333,192
From The Depths,36.5,2
Nevermind,36.0,1
The Musketeers Victoria's Quest,36.0,1
Tesla Effect,36.0,1
Football Manager 2015,35.63666666666666,30
Icewind Dale Enhanced Edition,35.63333333333333,3
